wid,source_type,lang_key,lang_country,lang_value,is_deleted
24e2d80d550245dea277bbb28faf2731,0,953609001219383296,zh_CN,我的大学,0
45fd4a47834042caba35602699125ec7,0,953609175513686016,zh_CN,办事大厅,0
5a57295c2be04f71b69b1b7dac2811f9,0,953609412047265792,zh_CN,工作台,0
db41467fe99241748cfec0ae15f515fa,0,953609594516267008,zh_CN,事项分类,0
687ae6fea73d40b9b99dea837c199fa8,0,953609748313006080,zh_CN,事项详情,0
6857acacf39542caaaec012d002b0f64,0,953609891561070592,zh_CN,搜索结果,0
5ef8ea1e3f4949c19d1d8cb91fefa859,0,953610021198618624,zh_CN,全部服务,0
755b50a78ce743b68a80a4a69aab8b80,0,953610147468140544,zh_CN,新闻列表,0
0e097ed19fe24f2a8b4229e7e4053807,0,953610273284677632,zh_CN,任务列表,0
3ced6f6435334ac284b9f94739a02d19,0,953610843152179200,zh_CN,日程详情页,0

953614718496137216,0,953615169509646336,zh_CN,首页,0
953614742735020032,0,953615195690491904,zh_CN,办事,0
953614765048717312,0,953615218700443648,zh_CN,事项分类,0
953614797156114432,0,953615241072861184,zh_CN,事项详情,0
953615056863223808,0,953615263101345792,zh_CN,搜索结果,0
953615085149609984,0,953615284953669632,zh_CN,全部服务,0
953615110613229568,0,953615309213523968,zh_CN,我的,0
953969993702952960,0,953970059863904256,zh_CN,新闻列表,0
953970018961051648,0,953970086522900480,zh_CN,任务列表,0

642d538501794169a50c599bb32ba703,0,953607364329332736,zh_CN,我的大学,0
4de46c378b4d47b5a95af45eaf2bfca0,0,953607418716872704,zh_CN,办事大厅,0
f27ad695f59048f682b08340497a232a,0,953607446877429760,zh_CN,工作台,0

954032410105466880,0,954032492154441728,zh_CN,我的,0
954032438723203072,0,954032515961311232,zh_CN,办事,0
954032463763197952,0,954032541441708032,zh_CN,首页,0
