wid,icon_name,icon_type,icon_desc,icon_url,order_number,is_deleted,icon_item
"1","icon-More",0,"更多","icon-More",1,0,0
"2","icon-Down",0,"下拉","icon-Down",2,0,0
"3","icon-Right",0,"向右","icon-Right",3,0,0
"4","icon-Ashcan",0,"垃圾桶","icon-Ashcan",4,0,0
"5","icon-Upload",0,"上传","icon-Upload",5,0,0
"6","icon-MultipleSelection",0,"多选-选中","icon-MultipleSelection",6,0,0
"7","icon-MultipleSelectUnselected",0,"多选-未选中","icon-MultipleSelectUnselected",7,0,0
"8","icon-Ashcan01",0,"垃圾桶","icon-Ashcan01",8,0,0
"9","icon-UserName",0,"用户名","icon-UserName",9,0,0
"10","icon-taskCenter",0,"任务中心","icon-taskCenter",10,0,0
"11","icon-favorites",0,"收藏/未收藏","icon-favorites",11,0,0
"12","icon-flowChart",0,"流程","icon-flowChart",12,0,0
"13","icon-urgent",0,"紧急","icon-urgent",13,0,0
"14","icon-newest",0,"最新","icon-newest",14,0,0
"15","icon-location",0,"icon-地点","icon-location",15,0,0
"16","icon-duration",0,"icon-持续时间","icon-duration",16,0,0
"17","icon-timeOnline",0,"icon-上线时间","icon-timeOnline",17,0,0
"18","icon-theTeacher",0,"icon-任课教师","icon-theTeacher",18,0,0
"19","icon-serviceSubject",0,"icon-服务主题","icon-serviceSubject",19,0,0
"20","icon-courseNo",0,"icon-课程编号","icon-courseNo",20,0,0
"21","icon-views",0,"icon-访问量","icon-views",21,0,0
"22","icon-responsibleDepartment",0,"icon-责任部门","icon-responsibleDepartment",22,0,0
"23","icon-session",0,"icon-节次","icon-session",23,0,0
"24","icon-applicationServiceDefault",0,"应用服务-默认图标","icon-applicationServiceDefault",24,0,0
"25","icon-Locking",0,"锁定","icon-Locking",25,0,0
"26","icon-AllServices",0,"全部服务","icon-AllServices",26,0,0
"27","icon-Unfold",0,"展开","icon-Unfold",27,0,0
"28","icon-PutAway",0,"收起","icon-PutAway",28,0,0
"29","icon-Common",0,"通用图标","icon-Common",29,0,0
"30","icon-Warning",0,"询问警示","icon-Warning",30,0,0
"31","icon-Failure",0,"失败","icon-Failure",31,0,0
"32","icon-Waiting",0,"等待","icon-Waiting",32,0,0
"33","icon-Selection",0,"选中","icon-Selection",33,0,0
"34","icon-Language",0,"语言","icon-Language",34,0,0
"35","icon-logout",0,"安全退出","icon-logout",35,0,0
"36","icon-backstageManage",0,"后台管理","icon-backstageManage",36,0,0
"37","icon-personCenter",0,"个人中心","icon-personCenter",37,0,0
"38","icon-accountManage",0,"帐号管理","icon-accountManage",38,0,0
"39","icon-linknav-PartyMember",0,"党员","icon-linknav-PartyMember",39,0,1
"40","icon-linknav-Innovation",0,"创新","icon-linknav-Innovation",40,0,1
"41","icon-linknav-RetrievalSystem",0,"检索系统","icon-linknav-RetrievalSystem",41,0,1
"42","icon-linknav-PersonnelSystem",0,"人事系统","icon-linknav-PersonnelSystem",42,0,1
"43","icon-linknav-News",0,"新闻","icon-linknav-News",43,0,1
"44","icon-linknav-SchoolCalendar",0,"校历","icon-linknav-SchoolCalendar",44,0,1
"45","icon-linknav-Universal",0,"通用","icon-linknav-Universal",45,0,1
"46","icon-linknav-System",0,"系统","icon-linknav-System",46,0,1
"47","icon-linknav-GenuineSoftware",0,"正版软件","icon-linknav-GenuineSoftware",47,0,1
"48","icon-linknav-Folder",0,"文件夹","icon-linknav-Folder",48,0,1
"49","icon-linknav-AcademicSystem",0,"学工系统","icon-linknav-AcademicSystem",49,0,1
"50","icon-linknav-VPN",0,"VPN","icon-linknav-VPN",50,0,1
"51","icon-linknav-Bidding",0,"招标采购","icon-linknav-Bidding",51,0,1
"52","icon-linknav-OASystem",0,"OA","icon-linknav-OASystem",52,0,1
"53","icon-linknav-FixedTelephone",0,"固话","icon-linknav-FixedTelephone",53,0,1
"54","icon-linknav-MobilePhone",0,"手机","icon-linknav-MobilePhone",54,0,1
"55","icon-linknav-CustomerService",0,"客服","icon-linknav-CustomerService",55,0,1
"56","icon-dep-PrincipalOffice",0,"校长办公室","icon-dep-PrincipalOffice",56,0,2
"57","icon-dep-SchoolClinic",0,"校医院","icon-dep-SchoolClinic",57,0,2
"58","icon-dep-HealthCenter",0,"心理健康教育与研究中心","icon-dep-HealthCenter",58,0,2
"59","icon-dep-AcademicOffice",0,"学工处","icon-dep-AcademicOffice",59,0,2
"60","icon-dep-GraduateSchool",0,"研究生院","icon-dep-GraduateSchool",60,0,2
"61","icon-dep-BiddingOffice",0,"招标办公室","icon-dep-BiddingOffice",61,0,2
