wid,card_id,card_name,image_url,platform_type,configurable_flag,configurable_runtime_flag,card_desc,card_system_type,configure_content,is_deleted,card_status,version_number
"1","SYS_CARD_ALLSERVICEITEM","全部事项","/SYS_CARD_ALLSERVICEITEM/img/display.png",":0:",0,1,"全部事项",0,"",0,0,"1.0.0"
"2","SYS_CARD_CAROUSEL","轮播图","/SYS_CARD_CAROUSEL/img/display.png",":0:",0,1,"轮播图",0,"",0,0,"1.0.0"
"3","SYS_CARD_CLASSTIMETABLE","课表","/SYS_CARD_CLASSTIMETABLE/img/display.png",":0:",0,1,"课表",0,"",0,0,"1.0.0"
"4","SYS_CARD_DONETASK","已办任务","/SYS_CARD_DONETASK/img/display.png",":0:",0,1,"已办任务",0,"",0,0,"1.0.0"
"5","SYS_CARD_FAVORITEAPP","我收藏的服务","/SYS_CARD_FAVORITEAPP/images/display.png",":0:",0,1,"我收藏的服务",0,"",0,0,"1.0.0"
"6","SYS_CARD_HOTAPP","热门服务","/SYS_CARD_HOTAPP/images/display.png",":0:",0,1,"热门服务",0,"",0,0,"1.0.0"
"7","SYS_CARD_HOTSERVICEITEMS","热门事项","/SYS_CARD_HOTSERVICEITEMS/images/display.png",":0:",0,1,"热门事项",0,"",0,0,"1.0.0"
"8","SYS_CARD_LASTESTAPP","最新服务","/SYS_CARD_LASTESTAPP/images/display.png",":0:",0,1,"最新服务",0,"",0,0,"1.0.0"
"9","SYS_CARD_LATESTSERVICEITEMS","最新事项","/SYS_CARD_LATESTSERVICEITEMS/img/display.png",":0:",0,1,"最新事项",0,"",0,0,"1.0.0"
"10","SYS_CARD_LINK","链接导航","/SYS_CARD_LINK/img/display-1.png;/SYS_CARD_LINK/img/display-2.png",":0:",0,1,"链接导航",0,"",0,0,"1.0.0"
"11","SYS_CARD_MESSAGECENTER","消息中心","/SYS_CARD_MESSAGECENTER/img/display.png",":0:",0,1,"消息中心",0,"",0,0,"1.0.0"
"12","SYS_CARD_MYFAVORITESSERVICEITEM","我收藏的事项","/SYS_CARD_MYFAVORITESSERVICEITEM/images/display.png",":0:",0,1,"我收藏的事项",0,"",0,0,"1.0.0"
"13","SYS_CARD_MYTASK","我发起的","/SYS_CARD_MYTASK/images/display.png",":0:",0,1,"我发起的",0,"",0,0,"1.0.0"
"14","SYS_CARD_NEWSANNOUNCEMENT","新闻通知公告","/SYS_CARD_NEWSANNOUNCEMENT/image/display-1.png;/SYS_CARD_NEWSANNOUNCEMENT/image/display-2.png;/SYS_CARD_NEWSANNOUNCEMENT/image/display-3.png;/SYS_CARD_NEWSANNOUNCEMENT/image/display-4.png",":0:",0,1,"新闻通知公告",0,"",0,0,"1.0.0"
"17","SYS_CARD_RECOMMENDAPP","推荐服务","/SYS_CARD_RECOMMENDAPP/images/display.png",":0:",0,1,"推荐服务",0,"",0,0,"1.0.0"
"18","SYS_CARD_RECOMMENDSERVICEITEMS","推荐事项","/SYS_CARD_RECOMMENDSERVICEITEMS/img/display.png",":0:",0,1,"推荐事项",0,"",0,0,"1.0.0"
"20","SYS_CARD_SERVICEBUS","业务直通车","/SYS_CARD_SERVICEBUS/img/display-1.png;/SYS_CARD_SERVICEBUS/img/display-2.png",":0:",0,1,"业务直通车",0,"",0,0,"1.0.0"
"21","SYS_CARD_TODOTASK","待办任务","/SYS_CARD_TODOTASK/img/display.png",":0:",0,1,"待办任务",0,"",0,0,"1.0.0"
"23","SYS_CARD_ALLSERVICE","全部服务","/SYS_CARD_ALLSERVICE/images/display.png",":0:",0,1,"全部服务",0,"",0,0,"1.0.0"
"24","SYS_CARD_SERVICEITEMCATEGORY","事项分类","/SYS_CARD_SERVICEITEMCATEGORY/images/display-1.png;/SYS_CARD_SERVICEITEMCATEGORY/images/display-2.png",":0:",0,1,"事项分类",0,"",0,0,"1.0.0"
"25","SYS_CARD_SERVICEITEMCOUNT","事项统计","/SYS_CARD_SERVICEITEMCOUNT/images/display-1.png;/SYS_CARD_SERVICEITEMCOUNT/images/display-2.png",":0:",0,1,"事项统计",0,"",0,0,"1.0.0"
"26","SYS_CARD_DETAILSOFSERVICEITEMS","事项详情","/SYS_CARD_DETAILSOFSERVICEITEMS/image/display.png",":0:",0,1,"事项详情",0,"",0,0,"1.0.0"
"27","SYS_CARD_SEARCHRESULTS","搜索结果","/SYS_CARD_SEARCHRESULTS/img/display.png",":0:",0,1,"搜索结果",0,"",0,0,"1.0.0"
"29","SYS_CARD_SERVICEITEMCATEGORYDETAIL","事项分类详情","/SYS_CARD_SERVICEITEMCATEGORYDETAIL/images/display.png",":0:",0,1,"事项分类详情",0,"",0,0,"1.0.0"
